,DV,E1,E2,E3,E4,E5,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
40,100.2057429,-0.195324459,-1.296228706,-0.9088955,-1.707970553,1.31242059,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
41,101.7549889,0.469976914,-0.135463975,-0.588826965,1.954880681,-1.880554367,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0
42,101.4808198,-1.274895791,-0.794453327,-0.144510232,0.135373101,0.350204291,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1
43,101.1329037,0.327697199,0.044339241,-0.34881678,-0.590039134,0.510966995,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0
44,102.549766,0.04408984,0.726728168,-2.291888323,0.642494488,-0.616430923,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1
45,100.5633861,0.694508481,0.371507404,-0.804873246,1.071152334,2.158668964,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1
46,100.431911,-1.313594331,1.570725363,-0.815546679,-0.371483205,1.287644791,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
47,101.9988105,0.30362237,-1.535544195,-0.120355075,0.693083349,-1.56161584,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0
48,100.5460451,0.265443522,-0.726444792,-0.351181372,0.118820138,1.791065747,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0
49,100.7192377,0.244967435,0.593139747,0.919410031,-0.467243089,-1.610686969,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
50,99.29370598,-1.610679455,-0.08169224,1.511913103,1.434713599,-1.01287663,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
51,100.4118393,-0.178080946,1.053069715,0.42145843,-0.097316041,-0.22669136,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1
52,99.58470443,-0.605138836,-0.169649736,-0.120601146,0.637445568,1.920882279,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0
53,102.22198,-1.404704714,-0.014284927,0.134690689,0.296627887,-1.076238167,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
54,102.0729043,-1.406451773,1.06349311,0.744674147,-0.607449142,0.151276458,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1
55,100.8763622,-0.874081074,1.808333519,0.431908738,-1.661256049,1.366990814,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0
56,98.68242776,0.558481477,-0.173392521,0.26671964,-1.57562068,-0.03380584,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0
57,100.48751,-0.71709205,-1.468760036,-0.509604246,1.780372528,-0.939611668,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
58,101.3993024,1.229953307,-0.783549074,0.367203364,-0.675328217,0.637213691,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
59,100.9570158,-0.306786334,-1.598669572,1.651799939,-0.795570272,0.110312685,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
60,101.8053857,-1.419556924,1.394814346,-0.45754391,1.343842743,-0.618576013,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0
61,106.4261823,-1.081335387,-0.998346482,0.238331721,-0.761093529,-0.92965672,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
62,100.7426653,1.859635314,0.035023255,-0.98683991,-0.091298122,0.041343722,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
63,102.1826342,0.439646073,0.611780583,0.375562599,-0.465801344,0.306660956,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
64,99.73102124,-1.030443424,-0.948124717,0.541886367,2.427850097,1.047762529,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0
65,101.3608686,0.823510969,0.045780804,-0.985951915,-0.552865156,0.406961548,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1
66,99.89874754,-0.181620013,1.728121622,-0.33267066,2.328750915,-1.305743624,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1
67,101.3808506,0.97464077,0.047658412,2.011711393,1.077318304,1.27982357,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0
68,100.6216135,0.461823791,-1.408279111,-1.720063615,0.211003469,0.346210252,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1
69,102.1233657,-0.266624625,0.712370987,0.373656219,-0.057071959,-0.767798846,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
70,101.4560021,-0.58974091,1.10937571,-0.020132915,0.420304318,-0.75921496,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1
71,100.9996421,-0.176818943,0.464249212,0.066948109,0.748756595,1.292673471,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
72,104.4042019,-0.900168421,-1.963032631,0.039138041,-0.145143058,0.951963274,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1
73,102.3254657,0.10347048,0.595717544,1.014934428,0.786947879,-0.00533532,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0
74,100.9830373,-1.401500562,-0.797847233,-0.07226207,1.038963031,-0.212089289,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0
75,101.8601965,2.339459387,0.4061688,0.12683895,0.135329019,-0.825088247,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
76,100.1051765,0.888232759,0.059244353,-0.85953876,1.298798983,1.54512229,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
77,101.5368584,1.257894443,-0.150098418,0.230153217,-1.80176578,-0.233206681,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
78,98.82268237,0.6044118,0.317285264,0.055548396,-0.113102621,1.459279799,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0
79,100.8972972,-1.373292137,2.780336949,-0.549467499,-0.406558187,0.256728678,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
80,101.4499206,-1.395810629,1.235119045,-0.788509098,0.667716964,0.312043263,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
81,102.5311346,-0.64144955,0.096616013,-0.57551397,0.76632683,-1.182991253,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0
82,100.7882007,2.357754054,-1.298490099,2.054777012,0.629033065,-0.054159321,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
83,100.7976986,-0.334138391,0.773645847,-0.355698924,-0.448143255,-0.683519306,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0
84,101.0499703,0.268701383,-1.22846165,0.376607864,-0.443214065,-0.793760409,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1
85,100.7984921,-1.0347209,-0.626593356,-2.219836397,-0.164911554,0.849190196,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0
86,103.2513019,-0.160516649,1.319396132,0.683497286,-0.879884735,-1.283630869,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
87,107.0533665,0.533016736,1.031478243,0.291173663,0.142094675,1.836549604,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1
88,97.74932822,-1.862371307,0.324729264,0.209111686,-1.879506708,1.010752226,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1
89,102.3932209,-0.171051144,1.91549246,0.474365529,1.67477653,-0.19227385,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
90,100.9159465,-0.562174595,-1.014065638,-0.392155926,0.630276109,-1.929094543,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1
91,100.8020907,-0.283599138,-1.314700652,0.478854462,-0.973789884,0.333584178,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
92,101.9065199,-0.314104439,-0.969023714,-1.658205611,1.573007541,-0.368042525,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0
93,106.6578388,-0.274526712,0.922988386,-0.484899944,0.846344391,0.534778851,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0
94,103.2284645,1.141195431,0.448230485,-0.337331136,-0.306770425,-1.922085201,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1
95,106.379849,-0.735483192,0.918245766,-0.410803759,1.992134618,0.762277116,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1
96,101.6478493,1.537538802,0.029343145,-0.679433055,-0.036406301,-0.529470533,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0
97,103.0334695,0.374028443,-0.843468376,1.936676257,-1.463802696,-0.42727285,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
98,100.4541726,0.594453555,-0.281042764,-0.658871869,1.130878286,0.916106635,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1
99,99.74696534,-0.157492414,-1.427998925,-1.051246843,-0.040305957,-1.343285237,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1
100,100.7440448,1.022422191,-0.498836927,-0.659402165,-2.651372237,-0.906794982,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
101,101.4297107,1.743628518,-1.605392544,-0.911418106,-0.029605082,0.031345383,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0
102,99.27596114,0.184277656,1.082275842,1.255060455,-0.086293043,0.561631851,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1
103,101.8970337,-1.417653401,1.759678939,-0.729752336,-0.787477547,-1.279618963,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0
104,97.8829547,-0.57435292,0.035267851,0.513728865,-0.862170428,2.056550648,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
105,100.8919201,-1.972285214,-0.032094992,1.785946142,-1.749570858,0.370948942,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0
106,102.7403766,0.113041,-0.358334003,1.37689043,-0.44129413,-1.040648797,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0
107,101.7735891,0.188348955,-0.790863223,1.845404581,0.328975661,0.637109044,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
108,103.274072,1.275236092,2.241682019,-0.274084218,-0.11456759,-0.951069689,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
109,100.9496262,-0.976224705,-0.482079712,1.991177831,0.432773129,-1.279299601,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1
110,100.9539486,1.446573533,-0.537230639,1.162336205,-1.780434277,-0.841242002,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1
111,101.8777201,0.934544911,1.058972611,-1.569180979,0.220257746,1.501505013,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0
112,101.5390575,-0.941432869,0.24712245,0.393315998,0.447998422,-0.469669137,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1
113,98.55589324,-1.335836471,-0.371219908,-1.413717502,1.229577159,0.810830973,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
114,99.92774038,2.004765151,-0.067355047,0.387034591,-0.25033257,0.191149845,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0
115,101.1927485,-0.823046662,0.313422867,-1.362804008,-0.805647111,-0.007313127,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
116,100.3694314,0.488490124,-0.021219445,-1.127722765,2.576450563,0.382824306,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0
117,100.7049105,-1.574852086,-1.03896456,0.045330873,0.156162824,1.342312783,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1
118,99.79464814,0.526968796,-1.820835486,-0.533294199,-0.704583748,1.748278087,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
119,102.3287574,0.355295195,-0.75854252,0.991382207,-0.380224284,0.676448069,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1
120,101.6754094,1.651577731,0.201237202,0.841044728,-0.213726967,0.636576128,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1
121,100.4091512,-1.476357961,-0.318857447,-1.185883875,-1.418607944,-1.633476806,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1
122,103.3643484,0.759617795,0.595726155,0.995878863,0.67119305,0.244319799,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0
123,101.5954006,-0.652999839,-1.322246667,1.769190157,-0.56045036,0.68051292,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0
124,99.33078379,0.566382065,-1.066062891,-1.330423194,-0.71694056,1.022516076,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
125,102.2070894,-1.401420118,-0.706619466,-0.485641572,-1.262572131,-0.860499524,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
126,102.214687,0.275352354,0.480329387,0.332922943,0.123296618,-0.483744755,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
127,100.336609,-0.237783264,-1.4531457,0.582702681,-0.173158022,0.076789355,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
128,101.6417008,-0.276884734,1.314984732,-0.767443565,-0.496977447,-1.010993335,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
129,107.9287777,-1.696107366,-0.243706324,-0.035161876,0.30755767,-0.657358437,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0
130,100.5673399,-1.559325459,-0.768398174,-0.088382062,-1.600492507,1.052539739,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1
131,98.47231696,0.262683796,-1.109723502,-0.238262615,1.447392849,0.666204205,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0
132,99.30408128,-0.072516451,-0.553135217,1.083236201,1.988657473,1.245061143,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1
133,103.850946,-1.863066378,0.196696307,0.601151915,-0.185822221,-2.047103817,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
134,100.7556387,2.356392332,-0.995767265,-0.298525781,-0.379729653,0.71693003,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0
135,101.8906633,-0.750673697,0.551393997,0.290760444,-1.884826028,-1.541804668,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
136,102.0659743,-0.754243214,0.915163468,0.435087448,-1.411270397,0.169696772,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
137,100.5535974,1.212694596,-0.028029742,0.734591826,0.194129659,-0.5695342,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1
138,100.9053597,0.153608543,-0.492185975,-0.584085131,-1.15414733,0.171191438,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0
139,107.1908521,-1.510689987,-0.005997145,-1.455255464,1.715254694,-0.45340086,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1
140,102.3375424,-0.513084701,-0.099009668,1.226343919,-1.548010605,-1.127275583,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
141,99.2409792,0.293700651,1.438304866,-1.819515296,-0.085312961,0.393404374,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
142,100.6191602,-0.186232021,0.314665048,-0.623560602,0.085950957,-0.452457403,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1
143,100.9522029,0.119587116,0.668097433,1.387830375,1.580385901,-0.092558177,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
144,100.079862,1.383593529,0.027596728,-2.41567356,-0.192489735,-0.206490328,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
145,99.36200275,0.998119685,-0.146625226,1.259225468,-1.081762136,0.359165907,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
146,98.83210944,-1.66381088,-2.370241588,1.031717851,-0.490748368,-0.417074305,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
147,99.94046118,-0.083436241,-0.824050899,-0.312537047,-0.215194889,-0.417041313,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1
148,101.2971014,0.903235224,-0.42077284,-0.187350121,0.340822249,1.967054595,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0
149,101.3895404,-0.337937694,-0.969598112,-1.163987728,0.244086904,-0.288331961,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0
150,106.5262141,1.010763342,0.505709267,1.108290567,-0.049619461,0.568878391,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0
151,100.0515665,-1.758153798,1.092542995,-1.048779699,-1.017963668,0.455989788,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1
152,99.61396304,-0.290713039,0.606622802,-0.044019801,-0.388808897,0.606840621,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0
153,99.43715986,-0.327683139,-0.005853003,0.427036228,1.375296718,-0.375782776,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
154,98.97616634,0.680352015,0.822768842,0.354324495,2.183834745,1.37584591,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0
155,99.55652117,0.082035487,0.295508407,-0.60750289,0.836868952,0.142923908,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
156,100.3593064,-1.235187676,-1.793650196,-0.117054236,0.340981779,-1.138954512,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1
157,100.7376186,1.017551997,0.550921743,0.759432128,-0.366836134,1.882831868,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0
158,99.61648262,0.473662234,-0.087332511,-0.555268181,0.674020347,1.813275537,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
159,106.7038876,-0.554501447,-0.496102067,-0.820854793,0.411999394,-0.232289044,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1
160,100.9234181,1.350792314,0.602595695,0.52626485,1.454464866,0.32386946,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
161,101.1146139,0.243986246,-0.549977216,-0.157507831,0.526030927,-1.18020055,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0
162,102.1525989,-0.903260672,0.987504444,-0.268585166,0.498179622,-0.912551989,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
163,101.2788903,0.07499985,-0.018050464,-0.208681661,-0.566060243,-0.311878673,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0
164,102.5536753,1.281222046,2.407031877,1.46250168,-0.703515474,-0.571312807,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1
165,99.8363718,1.452281023,-0.877341527,0.749949938,-1.529094082,0.985969096,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
166,101.8425976,-1.74516996,-0.313666986,0.735933558,-1.444210194,0.302941804,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1
167,99.6581511,0.382283588,0.077866237,0.579366864,1.123591279,0.233432437,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1
168,99.58441188,-0.035145672,-0.25174532,-0.995788559,0.564888743,1.963390907,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
169,100.8122017,-0.464416831,1.59107364,0.364677642,0.554254247,0.288969743,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
170,100.2198286,-0.405557521,0.155759043,-0.777975373,-0.581323247,0.79018062,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1
171,103.3896249,0.431046313,-1.350729057,0.48465842,-0.76243995,-0.623162462,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
172,103.3913808,0.935439011,0.717784688,0.707263405,2.008589428,-2.189240809,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0
173,100.1002025,0.490261607,-0.670457089,0.246689442,0.770763221,1.103800985,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
174,102.4830964,0.49787186,0.25579675,1.336531587,-2.173101907,-1.401487376,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0
175,108.609164,-0.100986536,1.276601081,0.192351765,1.133513836,-0.50623633,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
176,101.7661646,1.515474225,0.372776841,-0.671504603,-0.692413507,0.373439825,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
177,102.0488796,-0.494273105,0.893434585,0.394410441,-0.020142494,-0.28781449,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0
178,101.5295245,1.071780235,-0.822194713,0.85672511,0.578157054,-0.087964556,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
179,102.0493908,1.151142838,1.002194108,-1.048222435,-0.711846546,-0.399178625,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0
180,101.9320209,0.595202005,-0.223294949,2.429965404,1.332184263,1.169720055,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0
181,100.984466,1.13944125,-0.348373888,0.627614599,-0.289838613,0.382570192,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0
182,100.6520563,0.14451473,0.24646584,0.229892472,0.431102803,0.344844368,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
183,102.091075,1.216884992,-1.548456001,0.005305527,-0.02099144,1.600380372,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
184,101.5304691,1.191637687,-0.155801571,0.666457297,1.253307428,-0.592747543,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0
185,100.3189627,1.2260302,-1.23379211,2.998751367,-0.393328967,1.38216519,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
186,105.995063,1.369359494,-1.420956894,0.369844581,-0.275870591,1.038758106,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1
187,102.2548638,-1.295207277,1.232257654,-1.693690367,0.633119151,-0.180215,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1
188,101.9937062,0.871507811,1.698450322,0.671206666,0.474726823,0.521210262,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1
189,99.83039964,0.731851749,-1.857781063,1.604665205,-0.224693279,-0.701852645,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0
190,100.4993057,-1.045305258,0.509415394,-2.00752435,-2.34067957,-1.229747729,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0
191,100.833011,0.25136633,-0.207975898,-0.027751008,1.37281377,-1.158320666,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
192,101.0249828,-1.849101483,0.415812366,-0.678350443,-1.489230182,-0.881911732,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0
193,101.9483399,1.045292774,0.873615316,0.597562881,-0.397648564,-0.392470441,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0
194,100.2173079,-0.25684804,-0.303117117,-0.734314309,-1.674415243,0.243458698,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
195,102.1880639,1.786327204,0.688409023,1.046161452,0.156160631,-0.307213993,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1
196,105.7668698,-1.211975796,-0.345249587,0.896800264,-1.439006795,-0.086928367,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0
197,101.1121335,1.17348097,-1.197250896,1.35836964,-0.142393054,-0.568869772,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1
